pickle_path,name,speaker,length,audio_path
/home/qmh/Projects/Datasets/LibriSpeech_O/test-clean/2830_3979_0012.pickle,2830-3979-0012.wav,2830,3.06,/home/qmh/Projects/Datasets/LibriSpeech/test-clean/2830/3979/2830-3979-0012.wav
/home/qmh/Projects/Datasets/LibriSpeech_O/test-clean/2830_3979_0004.pickle,2830-3979-0004.wav,2830,1.41,/home/qmh/Projects/Datasets/LibriSpeech/test-clean/2830/3979/2830-3979-0004.wav
/home/qmh/Projects/Datasets/LibriSpeech_O/test-clean/2830_3979_0006.pickle,2830-3979-0006.wav,2830,4.02,/home/qmh/Projects/Datasets/LibriSpeech/test-clean/2830/3979/2830-3979-0006.wav
/home/qmh/Projects/Datasets/LibriSpeech_O/test-clean/2830_3979_0005.pickle,2830-3979-0005.wav,2830,1.65,/home/qmh/Projects/Datasets/LibriSpeech/test-clean/2830/3979/2830-3979-0005.wav
/home/qmh/Projects/Datasets/LibriSpeech_O/test-clean/2830_3979_0003.pickle,2830-3979-0003.wav,2830,7.5,/home/qmh/Projects/Datasets/LibriSpeech/test-clean/2830/3979/2830-3979-0003.wav
/home/qmh/Projects/Datasets/LibriSpeech_O/test-clean/2830_3979_0008.pickle,2830-3979-0008.wav,2830,8.85,/home/qmh/Projects/Datasets/LibriSpeech/test-clean/2830/3979/2830-3979-0008.wav
/home/qmh/Projects/Datasets/LibriSpeech_O/test-clean/2830_3979_0010.pickle,2830-3979-0010.wav,2830,2.76,/home/qmh/Projects/Datasets/LibriSpeech/test-clean/2830/3979/2830-3979-0010.wav
/home/qmh/Projects/Datasets/LibriSpeech_O/test-clean/2830_3979_0011.pickle,2830-3979-0011.wav,2830,7.86,/home/qmh/Projects/Datasets/LibriSpeech/test-clean/2830/3979/2830-3979-0011.wav
/home/qmh/Projects/Datasets/LibriSpeech_O/test-clean/2830_3979_0009.pickle,2830-3979-0009.wav,2830,8.04,/home/qmh/Projects/Datasets/LibriSpeech/test-clean/2830/3979/2830-3979-0009.wav
/home/qmh/Projects/Datasets/LibriSpeech_O/test-clean/2830_3979_0001.pickle,2830-3979-0001.wav,2830,15.48,/home/qmh/Projects/Datasets/LibriSpeech/test-clean/2830/3979/2830-3979-0001.wav
/home/qmh/Projects/Datasets/LibriSpeech_O/test-clean/2830_3979_0000.pickle,2830-3979-0000.wav,2830,5.88,/home/qmh/Projects/Datasets/LibriSpeech/test-clean/2830/3979/2830-3979-0000.wav
/home/qmh/Projects/Datasets/LibriSpeech_O/test-clean/2830_3979_0007.pickle,2830-3979-0007.wav,2830,14.1,/home/qmh/Projects/Datasets/LibriSpeech/test-clean/2830/3979/2830-3979-0007.wav
/home/qmh/Projects/Datasets/LibriSpeech_O/test-clean/2830_3979_0002.pickle,2830-3979-0002.wav,2830,3.6,/home/qmh/Projects/Datasets/LibriSpeech/test-clean/2830/3979/2830-3979-0002.wav
/home/qmh/Projects/Datasets/LibriSpeech_O/test-clean/2830_3980_0053.pickle,2830-3980-0053.wav,2830,4.47,/home/qmh/Projects/Datasets/LibriSpeech/test-clean/2830/3980/2830-3980-0053.wav
/home/qmh/Projects/Datasets/LibriSpeech_O/test-clean/2830_3980_0072.pickle,2830-3980-0072.wav,2830,4.26,/home/qmh/Projects/Datasets/LibriSpeech/test-clean/2830/3980/2830-3980-0072.wav
/home/qmh/Projects/Datasets/LibriSpeech_O/test-clean/2830_3980_0015.pickle,2830-3980-0015.wav,2830,2.28,/home/qmh/Projects/Datasets/LibriSpeech/test-clean/2830/3980/2830-3980-0015.wav
/home/qmh/Projects/Datasets/LibriSpeech_O/test-clean/2830_3980_0042.pickle,2830-3980-0042.wav,2830,2.64,/home/qmh/Projects/Datasets/LibriSpeech/test-clean/2830/3980/2830-3980-0042.wav
/home/qmh/Projects/Datasets/LibriSpeech_O/test-clean/2830_3980_0002.pickle,2830-3980-0002.wav,2830,1.74,/home/qmh/Projects/Datasets/LibriSpeech/test-clean/2830/3980/2830-3980-0002.wav
/home/qmh/Projects/Datasets/LibriSpeech_O/test-clean/2830_3980_0038.pickle,2830-3980-0038.wav,2830,4.95,/home/qmh/Projects/Datasets/LibriSpeech/test-clean/2830/3980/2830-3980-0038.wav
/home/qmh/Projects/Datasets/LibriSpeech_O/test-clean/2830_3980_0073.pickle,2830-3980-0073.wav,2830,15.51,/home/qmh/Projects/Datasets/LibriSpeech/test-clean/2830/3980/2830-3980-0073.wav
/home/qmh/Projects/Datasets/LibriSpeech_O/test-clean/2830_3980_0010.pickle,2830-3980-0010.wav,2830,6.12,/home/qmh/Projects/Datasets/LibriSpeech/test-clean/2830/3980/2830-3980-0010.wav
/home/qmh/Projects/Datasets/LibriSpeech_O/test-clean/2830_3980_0056.pickle,2830-3980-0056.wav,2830,4.95,/home/qmh/Projects/Datasets/LibriSpeech/test-clean/2830/3980/2830-3980-0056.wav
/home/qmh/Projects/Datasets/LibriSpeech_O/test-clean/2830_3980_0013.pickle,2830-3980-0013.wav,2830,3.57,/home/qmh/Projects/Datasets/LibriSpeech/test-clean/2830/3980/2830-3980-0013.wav
